"Day","PAR","TEMP","NLOAD"
1,53.8768355974574,0.264329699826639,0.00176219799884426
2,54.6166537503084,0.314771846611935,0.0020984789774129
3,55.4202946370064,0.369565543432257,0.00246377028954838
4,56.2875201214129,0.428694553732701,0.00285796369155134
5,57.2180732259005,0.492141356311397,0.00328094237540931
6,58.2116782075013,0.559887150511452,0.00373258100340969
7,59.2680406396155,0.63191186179197,0.0042127457452798
8,60.3868474992565,0.708194147676577,0.00472129431784385
9,61.5677672598057,0.788711404077661,0.00525807602718441
10,62.8104499892519,0.873439771994445,0.00582293181329629
11,64.1145274538829,0.962354144582923,0.00641569429721949
12,65.4796132274017,1.05542817459557,0.00703618783063715
13,66.9053028054328,1.1526342821886,0.00768422854792399
14,68.3911737253851,1.25394366309444,0.0083596244206296
15,69.9367856916375,1.3593262971571,0.00906217531438066
16,71.5416807060071,1.46875095722776,0.00979167304818506
17,73.2053832034649,1.58218521841806,0.0105479014561204
18,74.9274001930553,1.69959546770832,0.0113306364513888
19,76.7072214039799,1.82094691390772,0.0121396460927181
20,78.5443194368023,1.94620359796379,0.012974690653092
21,80.4381499197276,2.07532840361779,0.0138355226907853
22,82.3881516699115,2.20828306840306,0.0147218871226871
23,84.3937468597509,2.34502819498302,0.0156335212998868
24,86.4543411881068,2.48552326282546,0.0165701550855031
25,88.5693240564083,2.62972664020966,0.0175315109347311
26,90.7380687495867,2.77759559656273,0.0185173039770848
27,92.9599326217838,2.92908631512162,0.0195272421008108
28,95.2342572867827,3.084153905917,0.0205610260394467
29,97.5603688131012,3.24275241907508,0.0216183494605006
30,99.9375779236924,3.40483485843357,0.0226988990562238
31,102.365180200192,3.57035319546767,0.0238023546364511
32,104.842456291655,3.73925838352193,0.0249283892234795
33,107.36867212771,3.91150037234386,0.0260766691489591
34,109.943079136085,4.08702812291489,0.0272468541527659
35,112.564914464423,4.26578962257432,0.0284385974838288
36,115.233401206333,4.44773190043181,0.0296515460028787
37,117.947748631602,4.6328010430638,0.030885340287092
38,120.707152420508,4.82094221048921,0.0321396147365947
39,123.510794902156,5.01209965241972,0.0334139976827981
40,126.35784529677,5.20621672477975,0.0347081114985317
41,129.247459961874,5.40323590649139,0.0360215727099426
42,132.17878264228,5.60309881651906,0.0373539921101271
43,135.150944723814,5.80574623116914,0.0387049748744609
44,138.163065490708,6.01111810163917,0.0400741206775945
45,141.214252386571,6.21915357181165,0.0414610238120776
46,144.303601278876,6.42979099628698,0.0428652733085799
47,147.430196726872,6.64296795865037,0.0442864530576691
48,150.593112252851,6.85862128996714,0.0457241419331142
49,153.791410616682,7.07668708750103,0.0471779139166735
50,157.024144093533,7.29710073365,0.0486473382243333
51,160.290354754708,7.51979691509376,0.0501319794339584
52,163.589074751498,7.74470964214759,0.0516313976143173
